ds,yhat,yhat_lower,yhat_upper
2025-01-01,46.977488,8.953474462015702,87.49230489497107
2025-01-08,46.80958859130435,10.489546558314391,84.26234024050534
2025-01-15,46.64168918790228,6.959183107233786,88.89695010682334
2025-01-22,46.4737897895963,7.407305888855169,86.66147952742654
2025-01-29,46.30589039113699,7.4202281378786905,82.93635965180005
2025-02-05,46.13799098993224,9.029019211255273,85.6227191929982
2025-02-12,45.97009159227891,8.031975390811988,83.92379432331332
2025-02-19,45.802192198745786,9.613579933163129,85.5839576765891
2025-02-26,45.63429280048183,6.164840100315439,84.82630931060258
2025-03-05,45.46639339964376,8.164536953042337,82.09214847806969
2025-03-12,45.29849399659105,6.198560858268265,85.59124210036836
2025-03-19,45.13059459529456,7.311234073539914,83.53367814120818
2025-03-26,44.96269519599649,6.186327476584411,81.62877400665529
2025-04-02,44.794795798812395,6.752272958712613,81.41368543489293
2025-04-09,44.626896402331234,5.536673916867195,81.42026853868654
2025-04-16,44.45899700159595,4.935130862612904,80.94634221254556
2025-04-23,44.29109759418141,6.790519274500497,81.34872804278672
2025-04-30,44.12319819135725,3.7393469371905246,79.13121386094657
2025-05-07,43.95529878360304,7.6489369151903395,82.04441798240019
2025-05-14,43.78739937492769,5.634592814195102,81.22259288900212
2025-05-21,43.61949996625234,6.168069415978721,82.8967330165562
2025-05-28,43.451600557576995,4.842511841301274,84.13563689804636
2025-06-04,43.28370114890164,4.81111973032503,80.49787766341376
2025-06-11,43.115801740226296,4.500482197728625,85.37416629878324
2025-06-15,43.019859220983236,3.5831574909759736,82.85324504325172
2025-06-22,42.85195981230789,3.3077158457272673,82.62518610020892
2025-06-29,42.68406040363254,0.8738596921114712,79.23714525705971
2025-07-06,42.51616099495719,6.718299150685664,82.81611562174362
